Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
1964,Hartley Saunders,BAH,14.59,Male,7 November 1943,183.0,80.0
1964,Hwang Jeong-Dae,KOR,13.98,Male,14 September 1940,165.0,61.0
1964,Samir Vincent,IRQ,13.85,Male,23 October 1940 in ? (IRQ),185.0,85.0
1964,Chu Ming,HKG,13.5,Male,24 September 1932,169.0,64.0
1968,Viktor Saneyev,URS,17.39,Male,"3 October 1945 in Sukhumi, Apkhazeti (GEO)",188.0,78.0
1968,Nélson Prudêncio,BRA,17.27,Male,"4 April 1944 in Lins, São Paulo (BRA)",182.0,71.0
1968,Giuseppe Gentile,ITA,17.22,Male,"4 September 1943 in Roma, Roma (ITA)",190.0,83.0
1968,Art Walker,USA,16.49,Male,"9 September 1941 in Columbus, Georgia (USA)",188.0,69.0
1968,Nikolay Dudkin,URS,16.15,Male,"5 July 1947 in Minsk, Minsk (BLR)",178.0,78.0
1968,Phil May,AUS,17.02,Male,"20 September 1944 in Blackpool, England (GBR)",196.0,82.0
1968,Józef Szmidt,POL,16.89,Male,"28 March 1935 in Michałkowice, Śląskie (POL)",184.0,77.0
1968,Mansour Dia,SEN,16.58,Male,"27 December 1940 in Dakar, Dakar (SEN)",191.0,85.0
1968,Georgi Stoykovski,BUL,16.46,Male,"10 May 1941 in Bata, Pazardzhik (BUL)",173.0,71.0
1968,Henrik Kalocsai,HUN,16.45,Male,"28 November 1940 in Budapest, Budapest (HUN)",191.0,84.0
1968,Joachim Kugler,FRG,16.2,Male,"19 September 1947 in Backnang, Baden-Württemberg (GER)",180.0,70.0
1968,Luis Felipe Areta,ESP,16.2,Male,"28 March 1942 in San Sebastián, Guipúzcoa (ESP)",188.0,78.0
1968,Șerban Ciochină,ROU,16.21,Male,"30 November 1939 in București (Bucharest), București (ROU)",178.0,65.0
1968,Jan Jaskólski,POL,16.04,Male,"28 October 1939 in Inowrocław, Kujawsko-Pomorskie (POL)",180.0,70.0
1968,Michael Sauer,FRG,16.02,Male,"27 August 1941 in Recklinghausen, Nordrhein-Westfalen (GER)",183.0,77.0
1968,Derek Boosey,GBR,16.01,Male,"15 July 1942 in Pune (Poona), Maharashtra (IND)",183.0,75.0
1968,Norm Tate,USA,15.84,Male,"2 January 1942 in Oswald, West Virginia (USA)",183.0,82.0
1968,Pertti Pousi,FIN,15.84,Male,"24 June 1946 in Helsinki, Uusimaa (FIN)",185.0,63.0
1968,Yukito Muraki,JPN,15.83,Male,"31 July 1945 in Seoul, Seoul (KOR)",173.0,67.0
1968,Tim Barrett,BAH,15.79,Male,"16 March 1948 in Nassau, New Providence (BAH)",184.0,79.0
1968,Dave Smith,USA,15.75,Male,"8 November 1947 in Los Angeles, California (USA)",183.0,80.0
1968,Evangelos Vlasis,GRE,15.71,Male,"27 December 1944 in Sofikon, Attiki (GRE)",179.0,81.0
